id_sinistro;tipo_registro;data_sinistro;ano_sinistro;mes_sinistro;dia_sinistro;hora_sinistro;ano_mes_sinistro;dia_da_semana;turno;logradouro;numero_logradouro;tipo_via;tipo_local;latitude;longitude;cod_ibge;municipio;regiao_administrativa;administracao;conservacao;circunscricao;tp_sinistro_primario;qtd_pedestre;qtd_bicicleta;qtd_motocicleta;qtd_automovel;qtd_onibus;qtd_caminhao;qtd_veic_outros;qtd_veic_nao_disponivel;qtd_gravidade_fatal;qtd_gravidade_grave;qtd_gravidade_leve;qtd_gravidade_ileso;qtd_gravidade_nao_disponivel;tp_sinistro_atropelamento;tp_sinistro_colisao_frontal;tp_sinistro_colisao_traseira;tp_sinistro_colisao_lateral;tp_sinistro_colisao_transversal;tp_sinistro_colisao_outros;tp_sinistro_choque;tp_sinistro_capotamento;tp_sinistro_engavetamento;tp_sinistro_tombamento;tp_sinistro_outros;tp_sinistro_nao_disponivel
1747011;NOTIFICACAO;01/01/2022;2022;01;01;16:04;2022/01;Sábado;TARDE;RUA DAS ORQUÍDEAS;150.0;VIAS URBANAS;NAO DISPONIVEL;-23,7199434;-46,61537625;3513801;DIADEMA;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1686400;SINISTRO NAO FATAL;01/01/2022;2022;01;01;13:12;2022/01;Sábado;TARDE;AVENIDA PEREIRA DA SILVA;260.0;VIAS URBANAS;PUBLICO;-23,48436608;-47,44094528;3552205;SOROCABA;SOROCABA;PREFEITURA;PREFEITURA;MUNICIPAL;COLISAO;;;1;1;;;;;;;1;;1;;S;;;;;;;;;S;
2328757;NOTIFICACAO;01/01/2022;2022;01;01;17:37;2022/01;Sábado;TARDE;RUA 5;1.0;VIAS URBANAS;NAO DISPONIVEL;-22,39472054;-47,55991825;3543907;RIO CLARO;CAMPINAS;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1710642;SINISTRO NAO FATAL;01/01/2022;2022;01;01;14:28;2022/01;Sábado;TARDE;AVENIDA JOSÉ TEODORO DE SOUZA;10.0;VIAS URBANAS;PUBLICO;-22,60223613;-50,00409059;3509809;CAMPOS NOVOS PAULISTA;MARÍLIA;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;1;;;;;;;2;;;;;;;;;;S;;;;
1272343;NOTIFICACAO;01/01/2022;2022;01;01;05:10;2022/01;Sábado;MADRUGADA;SP 065;2.22;VIAS URBANAS;NAO DISPONIVEL;-23,325965213;-46,0290397656;3524402;JACAREI;SÃO JOSÉ DOS CAMPOS;DER;05.04;ESTADUAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1305467;NOTIFICACAO;01/01/2022;2022;01;01;05:43;2022/01;Sábado;MADRUGADA;RUA PROFESSOR OSCÁR VILAÇA;305.0;VIAS URBANAS;NAO DISPONIVEL;-23,0675628;-48,93336522;3504503;AVARE;SOROCABA;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1353974;NOTIFICACAO;01/01/2022;2022;01;01;06:27;2022/01;Sábado;MANHA;RUA MIOSÓTIS;740.0;VIAS URBANAS;NAO DISPONIVEL;-22,92909642;-46,52578825;3507605;BRAGANCA PAULISTA;CAMPINAS;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
2493045;SINISTRO FATAL;01/01/2022;2022;01;01;06:30;2022/01;Sábado;MANHA;ESTRADA DO BAIRRO ALTO;;VIAS URBANAS;PUBLICO;;;3536208;PARIQUERA-ACU;REGISTRO;PREFEITURA;PREFEITURA;MUNICIPAL;CHOQUE;;;1;;;;;;1;;;;;;;;;;;S;;;;S;
1432883;NOTIFICACAO;01/01/2022;2022;01;01;07:40;2022/01;Sábado;MANHA;RUA NICOLAS BRAVO;110.0;VIAS URBANAS;NAO DISPONIVEL;-23,47919646;-46,76092381;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1326850;SINISTRO NAO FATAL;01/01/2022;2022;01;01;06:04;2022/01;Sábado;MANHA;AVENIDA GOVERNADOR MARIO COVAS JÚNIOR;3151.0;VIAS URBANAS;PUBLICO;-24,21890026;-46,84708281;3537602;PERUIBE;BAIXADA SANTISTA;PREFEITURA;PREFEITURA;MUNICIPAL;ATROPELAMENTO;;;1;;;;;;;1;2;;;S;S;;;;;;;;;;
1383458;SINISTRO NAO FATAL;01/01/2022;2022;01;01;06:15;2022/01;Sábado;MANHA;SP 160;12.0;ESTRADAS E RODOVIAS;PUBLICO;-23,65740534;-46,63373763;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;CONCESSIONÁRIA;ECOVIAS;ESTADUAL;COLISAO;;;;2;;;;;;;1;;;;;;;S;;;;;;;
1573476;NOTIFICACAO;01/01/2022;2022;01;01;10:08;2022/01;Sábado;MANHA;RUA MONTE CARLO;129.0;VIAS URBANAS;NAO DISPONIVEL;-22,73297185;-45,62119117;3509700;CAMPOS DO JORDAO;SÃO JOSÉ DOS CAMPOS;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
